date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:00:24	73553/73553	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jul%202025%2016:00:24%20GMT	https://www.jitware.be/	D:/Web%20Copier/My%20project/www.jitware.be/index.html	(from )
22:00:24	88/88	---M-Z	200	added ('OK')	text/plain	etag:%224a6670-4b-635177616f580-gzip%22	https://www.jitware.be/robots.txt		(from )
22:00:25	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	D:/Web%20Copier/My%20project/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://www.jitware.be/)
22:00:26	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Jul%202025%2016:00:25%20GMT	http://cdn.mouseflow.com/projects/75bea4c3-cd8d-4001-953f-3b3c39462f1f.js	D:/Web%20Copier/My%20project/cdn.mouseflow.com/projects/75bea4c3-cd8d-4001-953f-3b3c39462f1f.2.delayed	(from https://www.jitware.be/)
22:00:26	32193/32193	---M--	200	added ('OK')	image/png	etag:%226e0c53-7dc1-63649bc10e400%22	https://www.jitware.be/includes/favicon.png	D:/Web%20Copier/My%20project/www.jitware.be/includes/favicon.png	(from https://www.jitware.be/)
22:00:26	80062/80062	---M-Z	200	added ('OK')	application/javascript	etag:W/%228022a42d990dc1:0%22	https://cdn.mouseflow.com/projects/75bea4c3-cd8d-4001-953f-3b3c39462f1f.js	D:/Web%20Copier/My%20project/cdn.mouseflow.com/projects/75bea4c3-cd8d-4001-953f-3b3c39462f1f.js	(from https://www.jitware.be/)
22:00:27	236/236	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Jul%202025%2016:00:26%20GMT	https://www.jitware.be/blog	D:/Web%20Copier/My%20project/www.jitware.be/blog	(from https://www.jitware.be/)
22:00:27	72643/72643	---M-Z	200	added ('OK')	text/html	etag:%224a516a-11bc3-63ad2867ac580-gzip%22	https://www.jitware.be/meer-klanten	D:/Web%20Copier/My%20project/www.jitware.be/meer-klanten.html	(from https://www.jitware.be/)
22:00:27	9918/9918	---M-Z	200	added ('OK')	text/html	etag:%226e0f20-26be-635a1bdc3da80-gzip%22	https://www.jitware.be/blog/	D:/Web%20Copier/My%20project/www.jitware.be/blog/index.html	(from https://www.jitware.be/)
22:00:28	249/249	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Jul%202025%2016:00:27%20GMT	https://www.jitware.be/ai/ai-oplossingen	D:/Web%20Copier/My%20project/www.jitware.be/ai/ai-oplossingen.6.delayed	(from https://www.jitware.be/)
22:00:28	24235/24235	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jul%202025%2016:00:27%20GMT	https://www.jitware.be/ai/ai-oplossingen/	D:/Web%20Copier/My%20project/www.jitware.be/ai/ai-oplossingen/index.html	(from https://www.jitware.be/)
22:00:28	40855/40855	---M--	200	added ('OK')	image/png	etag:%229a276c-9f97-6364c95fc0580%22	https://www.jitware.be/bestanden/performance-dashboard-2.png	D:/Web%20Copier/My%20project/www.jitware.be/bestanden/performance-dashboard-2.png	(from https://www.jitware.be/)
22:00:28	33174/33174	---M--	200	added ('OK')	image/png	etag:%22ba2120-8196-6364c890cdd40%22	https://www.jitware.be/bestanden/klanten/reviews/ann.png	D:/Web%20Copier/My%20project/www.jitware.be/bestanden/klanten/reviews/ann.png	(from https://www.jitware.be/)
22:00:29	10661/10661	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jul%202025%2016:00:28%20GMT	https://www.jitware.be/tools/	D:/Web%20Copier/My%20project/www.jitware.be/tools/index.html	(from https://www.jitware.be/)
22:00:29	22841/22841	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jul%202025%2016:00:29%20GMT	https://www.jitware.be/seo/positie-91-naar-positie-2	D:/Web%20Copier/My%20project/www.jitware.be/seo/positie-91-naar-positie-2.html	(from https://www.jitware.be/)
22:00:30	976484/976484	---M--	200	added ('OK')	image/png	etag:%22e87738-ee664-636a9597cfbc0%22	https://www.jitware.be/cases/dakwerken-vandendriessche/homepagina-dakwerken-vandendriessche.PNG	D:/Web%20Copier/My%20project/www.jitware.be/cases/dakwerken-vandendriessche/homepagina-dakwerken-vandendriessche.png	(from https://www.jitware.be/)
22:00:30	104073/104073	---M--	200	added ('OK')	image/png	etag:%22ba112e-19689-6364c8307ba00%22	https://www.jitware.be/bestanden/klanten/dedoncker/dedoncker-website-homepagina.PNG	D:/Web%20Copier/My%20project/www.jitware.be/bestanden/klanten/dedoncker/dedoncker-website-homepagina.png	(from https://www.jitware.be/)
22:00:30	28344/28344	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jul%202025%2016:00:29%20GMT	https://www.jitware.be/cases/website-seo-de-doncker	D:/Web%20Copier/My%20project/www.jitware.be/cases/website-seo-de-doncker.html	(from https://www.jitware.be/)
22:00:31	83370/83370	---M--	200	added ('OK')	image/png	etag:%22ba211f-145aa-6364c84a3b6c0%22	https://www.jitware.be/bestanden/klanten/otentik/otentik-website-homepagina.PNG	D:/Web%20Copier/My%20project/www.jitware.be/bestanden/klanten/otentik/otentik-website-homepagina.png	(from https://www.jitware.be/)
22:00:31	17699/17699	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jul%202025%2016:00:30%20GMT	https://www.jitware.be/ai/prompts/prompt-library	D:/Web%20Copier/My%20project/www.jitware.be/ai/prompts/prompt-library.html	(from https://www.jitware.be/)
22:00:31	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Jul%202025%2016:00:31%20GMT	https://www.jitware.be/tools	D:/Web%20Copier/My%20project/www.jitware.be/tools	(from https://www.jitware.be/)
22:00:31	241/241	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Jul%202025%2016:00:31%20GMT	https://www.jitware.be/financien	D:/Web%20Copier/My%20project/www.jitware.be/financien	(from https://www.jitware.be/)
22:00:32	86530/86530	---M--	200	added ('OK')	image/png	etag:%22c207ce-15202-6364c8e796a00%22	https://www.jitware.be/bestanden/jitware/jens-eigenaar-jitware.png	D:/Web%20Copier/My%20project/www.jitware.be/bestanden/jitware/jens-eigenaar-jitware.png	(from https://www.jitware.be/)
22:00:32	10648/10648	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jul%202025%2016:00:31%20GMT	https://www.jitware.be/financien/	D:/Web%20Copier/My%20project/www.jitware.be/financien/index.html	(from https://www.jitware.be/)
22:00:32	17547/17547	---M-Z	200	added ('OK')	text/html	etag:%224a0caf-448b-6345885c91d38-gzip%22	https://www.jitware.be/contact	D:/Web%20Copier/My%20project/www.jitware.be/contact.html	(from https://www.jitware.be/)
22:00:32	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Jul%202025%2016:00:32%20GMT	https://www.jitware.be/www.instagram.com/jitware	D:/Web%20Copier/My%20project/www.jitware.be/www.instagram.com/jitware	(from https://www.jitware.be/)
22:00:33	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Jul%202025%2016:00:32%20GMT	https://www.jitware.be/ai/ai-oplossingen/includes/favicon.png	D:/Web%20Copier/My%20project/www.jitware.be/ai/ai-oplossingen/includes/favicon.png	(from https://www.jitware.be/ai/ai-oplossingen/)
22:00:33	34568/34568	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jul%202025%2016:00:33%20GMT	https://www.jitware.be/ai/ai-oplossingen/ai-prompt-engineering	D:/Web%20Copier/My%20project/www.jitware.be/ai/ai-oplossingen/ai-prompt-engineering.html	(from https://www.jitware.be/ai/ai-oplossingen/)
22:00:33	27379/27379	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jul%202025%2016:00:33%20GMT	https://www.jitware.be/ai/ai-oplossingen/ai-automation-oplossingen	D:/Web%20Copier/My%20project/www.jitware.be/ai/ai-oplossingen/ai-automation-oplossingen.html	(from https://www.jitware.be/ai/ai-oplossingen/)
22:00:34	30147/30147	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jul%202025%2016:00:33%20GMT	https://www.jitware.be/ai/ai-oplossingen/generative-ai-oplossingen	D:/Web%20Copier/My%20project/www.jitware.be/ai/ai-oplossingen/generative-ai-oplossingen.html	(from https://www.jitware.be/ai/ai-oplossingen/)
22:00:34	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Jul%202025%2016:00:34%20GMT	https://www.jitware.be/tools/includes/favicon.png	D:/Web%20Copier/My%20project/www.jitware.be/tools/includes/favicon.png	(from https://www.jitware.be/tools/)
22:00:35	208341/208341	---MCZ	200	added ('OK')	application/javascript	etag:W/%2232dd5-Z992c4Z/9fKU6qjx8etYybhr1nM%22	https://cdn.jsdelivr.net/npm/chart.js	D:/Web%20Copier/My%20project/cdn.jsdelivr.net/npm/chart.js	(from https://www.jitware.be/seo/positie-91-naar-positie-2)
22:00:35	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Jul%202025%2016:00:34%20GMT	https://www.jitware.be/seo/includes/favicon.png	D:/Web%20Copier/My%20project/www.jitware.be/seo/includes/favicon.png	(from https://www.jitware.be/seo/positie-91-naar-positie-2)
22:00:35	107087/107087	---M--	200	added ('OK')	image/png	etag:%22bc0680-1a24f-635aebc4cdf00%22	https://www.jitware.be/seo/afbeeldingen/dakwerken-aalst-positie-2.png	D:/Web%20Copier/My%20project/www.jitware.be/seo/afbeeldingen/dakwerken-aalst-positie-2.png	(from https://www.jitware.be/seo/positie-91-naar-positie-2)
22:00:35	35811/35811	---M--	200	added ('OK')	image/png	etag:%22bc0745-8be3-6362c5bcebbc0%22	https://www.jitware.be/seo/afbeeldingen/meer-aanvragen-door-seo.png	D:/Web%20Copier/My%20project/www.jitware.be/seo/afbeeldingen/meer-aanvragen-door-seo.png	(from https://www.jitware.be/seo/positie-91-naar-positie-2)
22:00:35	16924/16924	---M--	200	added ('OK')	image/png	etag:%22bc0782-421c-6361dc12a72c0%22	https://www.jitware.be/seo/afbeeldingen/ranking-stijging-dakwerken.PNG	D:/Web%20Copier/My%20project/www.jitware.be/seo/afbeeldingen/ranking-stijging-dakwerken.png	(from https://www.jitware.be/seo/positie-91-naar-positie-2)
22:00:36	59658/59658	---M--	200	added ('OK')	image/png	etag:%22bc010b-e90a-6361dc3313f40%22	https://www.jitware.be/seo/afbeeldingen/begin-seo-positie-en-huidige-positie.PNG	D:/Web%20Copier/My%20project/www.jitware.be/seo/afbeeldingen/begin-seo-positie-en-huidige-positie.png	(from https://www.jitware.be/seo/positie-91-naar-positie-2)
22:00:36	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Jul%202025%2016:00:36%20GMT	https://www.jitware.be/cases/includes/favicon.png	D:/Web%20Copier/My%20project/www.jitware.be/cases/includes/favicon.png	(from https://www.jitware.be/cases/website-seo-de-doncker)
22:00:36	164912/164912	---M--	200	added ('OK')	image/jpeg	etag:%22e87625-28430-636a7048c3600%22	https://www.jitware.be/cases/bestanden/oud-design-dedoncker.jpg	D:/Web%20Copier/My%20project/www.jitware.be/cases/bestanden/oud-design-dedoncker.jpg	(from https://www.jitware.be/cases/website-seo-de-doncker)
22:00:36	85715/85715	---M--	200	added ('OK')	image/jpeg	etag:%22e87624-14ed3-636a7087b4a80%22	https://www.jitware.be/cases/bestanden/nieuw-design-dedoncker.jpg	D:/Web%20Copier/My%20project/www.jitware.be/cases/bestanden/nieuw-design-dedoncker.jpg	(from https://www.jitware.be/cases/website-seo-de-doncker)
22:00:37	15944/15944	---M--	200	added ('OK')	image/png	etag:%22e87626-3e48-636a6ed6bcd00%22	https://www.jitware.be/cases/bestanden/statistieken-nieuwe-website-stijging.png	D:/Web%20Copier/My%20project/www.jitware.be/cases/bestanden/statistieken-nieuwe-website-stijging.png	(from https://www.jitware.be/cases/website-seo-de-doncker)
22:00:37	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Jul%202025%2016:00:37%20GMT	https://www.jitware.be/ai/prompts/includes/favicon.png	D:/Web%20Copier/My%20project/www.jitware.be/ai/prompts/includes/favicon.png	(from https://www.jitware.be/ai/prompts/prompt-library)
22:00:38	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Jul%202025%2016:00:37%20GMT	https://www.jitware.be/financien/includes/favicon.png	D:/Web%20Copier/My%20project/www.jitware.be/financien/includes/favicon.png	(from https://www.jitware.be/financien/)
